position,entropy_value
1052,2
1053,1.87447
1054,2.63743
1055,1.4361
1056,0.652077
1057,1.53343
1058,2.41504
1059,0.289507
1060,2.45943
1061,0.0194962
1062,3.74416
1063,1.24793
1064,0.4975
1065,2.28011
1066,0.0614005
1067,0.0524674
1068,0.224706
1069,3.21723
1070,0.773724
1071,1.23704
1072,4.62727
1073,2.71621
1074,1.32193
1075,1
1076,1.49881
1077,1.64386
1078,0.378512
1079,4.16993
1080,2.32193
1081,0.423211
1082,0.13493
1083,3.14296
1084,0.415037
1085,3.45943
1086,2.32193
1087,2.58496
1088,1
1089,0.652077
1090,2.16993
1091,2
1092,1.58496
1093,0.36257
1094,0.295456
1095,3.64386
1096,1
1097,2
1098,1.58496
1099,1.58496
1100,0.263034
1101,3.5411
1102,0.915111
1103,0.338802
1104,3.79355
1105,0.625604
1106,3.39232
1107,2.80735
1108,1.06413
1109,2.41504
1110,1.16993
1111,4.45943
1112,1.58496
1113,1.58496
1114,1.58496
1115,1.80735
1116,0.415037
1117,1.45943
1118,3.58496
1119,2.58496
1120,1.58496
1121,0.584963
1122,0.415037
1123,8.0607
1124,2.80735
1125,2.58496
1126,1.58496
1127,1.58496
1128,1.58496
1129,1.58496
1130,1.58496
1131,1.58496
1132,1.58496
1133,1.58496
1134,1.58496
1135,1.58496
1136,2.87447
1137,3.32193
1138,1.58496
1139,1.58496
1140,1.58496
1141,0.584963
1142,1
1143,0.736966
1144,2.58496
1145,1
1146,2
1147,0.192645
1148,2.73697
1149,1.41504
1150,2.32193
1151,0.36257
1152,1.10962
1153,4.45943
1154,2
1155,0.736966
1156,0.174029
1157,0.0141442
1158,0.11211
1159,0.711755
1160,1.76553
1161,1.42884
1162,3.77259
1163,2.73697
1164,3.16993
1165,1
1166,1.47393
1167,0.874469
1168,0.584963
1169,1
1170,3.70044
1171,0.485427
1172,4.70044
1173,1.32193
1174,3.83289
1175,1
1176,0.452512
1177,3.64386
1178,0.726982
1179,1.28011
1180,3.25987
1181,6.45943
1182,2
1183,2.16993
1184,0.415037
1185,0.736966
1186,0.415037
1187,2.45943
1188,4.30986
1189,2.70044
1190,2
1191,0.584963
1192,3.45943
1193,2
1194,1
1195,1.32193
1196,0.736966
1197,3
1198,3.16993
1199,1.58496
1200,2
1201,2.32193
1202,1.58496
1203,1.58496
1204,2
1205,1.58496
1206,1.58496
1207,1
1208,2.32193
1209,1.58496
1210,2
1211,1
1212,0.906891
1213,0.0995357
1214,3.23095
1215,0.777608
1216,0.638901
1217,3.60126
1218,2.96347
1219,3.80735
1220,1.58496
1221,1.22239
1222,1.32193
1223,2
1224,1.58496
1225,3.32193
1226,1
1227,1
1228,1
1229,1.58496
1230,0.884523
1231,3.39232
1232,1
1233,1.10692
1234,2.73697
1235,0.222392
1236,0.222392
1237,0.321928
1238,1.58496
1239,1.41504
1240,0.736966
1241,3.70044
1242,0.321928
1243,0.21864
1244,0.13411
1245,3.23732
1246,0.736966
1247,3.92161
1248,1.6845
1249,1.18763
1250,0.0740006
1251,0.0588937
1252,0.853159
1253,3.58496
1254,4.75489
1255,1.58496
1256,1.48543
1257,0.485427
1258,1.28951
1259,2.24793
1260,2.54432
1261,1.42884
1262,3.35755
1263,3
1264,3.7866
1265,0.796467
1266,1.45251
1267,1.79141
1268,2.9386
1269,2.32193
1270,0.736966
1271,5.08746
1272,1.58496
1273,1
1274,0.137504
1275,0.0824622
1276,0.415037
1277,4.34577
1278,3.32193
1279,1.58496
1280,0.678072
1281,4
1282,1.58496
1283,2
1284,1.32193
1285,3.16993
1286,1.58496
1287,0.584963
1288,1
1289,0.736966
1290,2.58496
1291,1.58496
1292,1.58496
1293,0.36257
1294,0.392317
1295,1.66297
1296,3.16993
1297,1.87447
1298,2.32193
1299,1
1300,1.41504
1301,1.08746
1302,3.11356
1303,3.1375
1304,2.58496
1305,0.289507
1306,3.48543
1307,2
1308,0.765535
1309,0.263034
1310,0.121306
1311,1.06054
1312,0.517058
1313,2.95777
1314,2.66297
1315,1.38466
1316,3.848
1317,2.1375
1318,1.32193
1319,2.5502
1320,0.0759489
1321,1.11548
1322,1.152
1323,4.08746
1324,2
1325,1.58496
1326,0.36257
1327,1.58496
1328,1
1329,5.1819
1330,3.80735
1331,2
1332,1
1333,1.49881
1334,4.64386
1335,1
1336,2.80735
1337,0.321928
1338,0.168398
1339,0.0421871
1340,2.83067
1341,1.04152
1342,5.56986
1343,1.22239
1344,3.32193
1345,1.58496
1346,0.273018
1347,1.70044
1348,4.52356
1349,1.58496
1350,0.584963
1351,0.08092
1352,0.454259
1353,0.383787
1354,3.11356
1355,4.45943
1356,1
1357,1.58496
1358,0.31034
1359,4.75489
1360,1.58496
1361,2
1362,0.36257
1363,0.234465
1364,0.231326
1365,4.04924
1366,0.859822
1367,0.662004
1368,2.56478
1369,0.913288
1370,2.76553
1371,1.07529
1372,2.5325
1373,0.192645
1374,4
1375,1.58496
1376,1.58496
1377,4.32193
1378,1
1379,1
1380,2.41504
1381,3.34239
1382,4.97728
1383,2.58496
1384,1.37851
1385,4.32193
1386,2
1387,4.60486
1388,0.847997
1389,1.24793
1390,7.70044
1391,2
1392,1.58496
1393,1.32193
1394,0.736966
1395,0.736966
1396,0.736966
1397,0.788496
1398,4.75489
1399,1.58496
1400,1.58496
1401,0.514573
1402,1.27009
1403,3.60881
1404,2.32193
1405,1
1406,4.58496
1407,1.5025
1408,1
1409,1.16993
1410,0.0931094
1411,0.0931094
1412,0.917538
1413,0.321928
1414,4.16993
1415,1.58496
1416,1
1417,4.08746
1418,0.63743
1419,3.58496
1420,1
1421,2
1422,1
1423,4.42626
1424,2.32193
1425,2.32193
1426,1
1427,3.54057
1428,2.32193
1429,0.736966
1430,2.32193
1431,0.716207
1432,4.75489
1433,1.58496
1434,1.58496
1435,2.41504
1436,2.70044
1437,2.45943
