position,entropy_value
1131,0.684498
1132,0.746669
1133,3.60638
1134,1.07959
1135,0.885468
1136,3.35344
1137,5.61253
1138,2.08746
1139,1.55459
1140,1.80735
1141,4.79796
1142,1.99694
1143,1.37716
1144,3.21842
1145,6.19749
1146,1.04439
1147,2.38957
1148,6.65821
1149,1.80069
1150,4.64024
1151,3.63509
1152,2.01728
1153,3.77529
1154,4.67243
1155,2.51165
1156,4
1157,2.58496
1158,1.07039
1159,1.58496
1160,6.75221
1161,3.70044
1162,1.2115
1163,3
1164,5.06609
1165,5.09452
1166,0.652077
1167,0.802554
1168,0.203163
1169,3.38645
1170,1.01081
1171,0.885468
1172,4.16301
1173,3.79256
1174,4.83794
1175,0.485427
1176,2.32193
1177,4.12928
1178,2.63156
1179,3.01123
1180,2.87447
1181,4.70895
1182,1.62803
1183,1.37707
1184,3.08215
1185,1.08076
1186,5.09162
1187,1.20282
1188,1.54362
1189,2.70895
1190,1.72247
1191,0.832273
1192,2.10236
1193,4.6105
1194,3.09452
1195,3.26679
1196,0.0151864
1197,0.198884
1198,0.201882
1199,3.21516
1200,0.790182
1201,3.60716
1202,1.78872
1203,2.67187
1204,0.112768
1205,0.400213
1206,1.18322
1207,3.34136
1208,4.42626
1209,1.96758
1210,1.24998
1211,1.11103
1212,1.83132
1213,0.882123
1214,3.69095
1215,2.41343
1216,3.21715
1217,1.60586
1218,3.86507
1219,0.968598
1220,2.65208
1221,3.45003
1222,3.92811
1223,2.66297
1224,0.418604
1225,6.09276
1226,1.97124
1227,3.47478
1228,0.338802
1229,3.32499
1230,0.797811
1231,4.34136
1232,2.41028
1233,4.08246
1234,0.440573
1235,5.06609
1236,3.9386
1237,1.36257
1238,3.70044
1239,1.16993
1240,2
1241,1
1242,0.398549
1243,5.37504
1244,4.09516
1245,0.559427
1246,1.16993
1247,3.18587
1248,0.617384
1249,3.47449
1250,2.03562
1251,3.01123
1252,1.90923
1253,1.42545
1254,0.990002
1255,3.34136
1256,3.97375
1257,2.32193
1258,0.260063
1259,4.22097
1260,2.49553
1261,1.88235
1262,0.547488
1263,0.400213
1264,1.86129
1265,0.601706
1266,3.30812
1267,2.60666
1268,0.848858
1269,4.75822
1270,1.88868
1271,2.19666
1272,1.74474
1273,1.02466
1274,2.81855
1275,7.67948
1276,1.58496
1277,0.36257
1278,0.0824622
1279,0.945237
1280,1.75899
1281,4.86824
1282,3.1383
1283,1.33031
1284,1.38904
1285,1.62678
1286,4.3339
1287,1.45943
1288,2.42511
1289,0.00391505
1290,0.155754
1291,0.393772
1292,2.80373
1293,1.60586
1294,7.02035
1295,0.768674
1296,1.86434
1297,0.836501
1298,0.607924
1299,1.17852
1300,4.40429
1301,2.79256
1302,0.966833
1303,1.01683
1304,1.42545
1305,0.990002
1306,3.34136
1307,5.67419
1308,0.0480943
1309,1.07276
1310,0.321928
1311,5.06609
1312,2.71621
1313,0.152003
1314,0.253757
1315,0.201882
1316,3.7645
1317,0.861511
1318,1.23087
1319,2.77761
1320,1.61099
1321,2.34973
1322,1.83588
1323,3.13516
1324,2.45943
1325,2.64155
1326,0.237283
1327,4.3505
1328,2.41343
1329,3.99586
1330,0.861511
1331,1.23087
1332,3.64307
1333,2.91511
1334,3.01123
1335,1.90923
1336,1.85226
1337,1.75899
1338,4.81933
1339,0.761355
1340,0.746669
1341,7.30682
1342,4.14296
1343,1.35364
1344,2.9386
1345,0.736966
1346,0.673772
1347,2.87732
1348,1.51706
1349,5.24793
1350,3.78136
1351,0.597241
1352,1.08314
1353,3.75489
1354,1.59242
1355,1.77479
1356,4.15791
1357,3.81237
1358,1.88381
1359,1.51937
1360,0.0824622
1361,0.754888
1362,2.03562
1363,3.32193
1364,3.87254
1365,2.40831
1366,2.0494
1367,4.40696
1368,0.874469
1369,3.36923
1370,2.2713
1371,3.42626
1372,0.646363
1373,2.5025
1374,3.2854
1375,2.73965
1376,0.160093
1377,4.24793
1378,1.44746
1379,1.63294
1380,2.87732
1381,1.51706
1382,5.24793
1383,2.80735
1384,3.70044
1385,2
1386,2.32193
1387,1.58496
1388,1.84435
1389,0.184425
1390,5.7102
1391,5.39232
1392,2.80735
1393,1.19745
