context,symbol,count
o,\nSenão vendo, tratando e pelejando.\n\n154\nMa,s,1
ando,\nSenão vendo, tratando e pelejando.\n\n154\,n,1
udando,\nSenão vendo, tratando e pelejando.\n\n15,4,1
 estudando,\nSenão vendo, tratando e pelejando.\n,\,1
ou estudando,\nSenão vendo, tratando e pelejando.,\,1
 ou estudando,\nSenão vendo, tratando e pelejando,.,1
do ou estudando,\nSenão vendo, tratando e pelejan,d,1
ando ou estudando,\nSenão vendo, tratando e pelej,a,1
 imaginando ou estudando,\nSenão vendo, tratando ,e,1
o, imaginando ou estudando,\nSenão vendo, tratand,o,1
ando, imaginando ou estudando,\nSenão vendo, trat,a,1
nhando, imaginando ou estudando,\nSenão vendo, tr,a,1
onhando, imaginando ou estudando,\nSenão vendo, t,r,1
,\nSonhando, imaginando ou estudando,\nSenão vend,o,1
ia,\nSonhando, imaginando ou estudando,\nSenão ve,n,1
asia,\nSonhando, imaginando ou estudando,\nSenão ,v,1
tasia,\nSonhando, imaginando ou estudando,\nSenão, ,1
ntasia,\nSonhando, imaginando ou estudando,\nSenã,o,1
a fantasia,\nSonhando, imaginando ou estudando,\nS,e,1
r, na fantasia,\nSonhando, imaginando ou estudando,,,1
 Senhor, na fantasia,\nSonhando, imaginando ou est,u,1
, Senhor, na fantasia,\nSonhando, imaginando ou es,t,1
nde, Senhor, na fantasia,\nSonhando, imaginando ou, ,1
rende, Senhor, na fantasia,\nSonhando, imaginando ,o,1
 se aprende, Senhor, na fantasia,\nSonhando, imagi,n,1
ão se aprende, Senhor, na fantasia,\nSonhando, im,a,1
Não se aprende, Senhor, na fantasia,\nSonhando, i,m,1
e\nNão se aprende, Senhor, na fantasia,\nSonhando,,,1
nte\nNão se aprende, Senhor, na fantasia,\nSonhan,d,1
ante\nNão se aprende, Senhor, na fantasia,\nSonha,n,1
restante\nNão se aprende, Senhor, na fantasia,\nS,o,1
prestante\nNão se aprende, Senhor, na fantasia,\n,S,1
 prestante\nNão se aprende, Senhor, na fantasia,\,n,1
r prestante\nNão se aprende, Senhor, na fantasia,,\,1
litar prestante\nNão se aprende, Senhor, na fanta,s,1
 militar prestante\nNão se aprende, Senhor, na fa,n,1
a militar prestante\nNão se aprende, Senhor, na f,a,1
iplina militar prestante\nNão se aprende, Senhor,, ,1
ciplina militar prestante\nNão se aprende, Senhor,,,1
 disciplina militar prestante\nNão se aprende, Se,n,1
\nA disciplina militar prestante\nNão se aprende,, ,1
a.\nA disciplina militar prestante\nNão se aprend,e,1
va e lia.\nA disciplina militar prestante\nNão se, ,1
tava e lia.\nA disciplina militar prestante\nNão ,s,1
atava e lia.\nA disciplina militar prestante\nNão, ,1
 tratava e lia.\nA disciplina militar prestante\nN,�,1
arga voz tratava e lia.\nA disciplina militar pres,t,1
larga voz tratava e lia.\nA disciplina militar pre,s,1
m larga voz tratava e lia.\nA disciplina militar p,r,1
com larga voz tratava e lia.\nA disciplina militar, ,1
e, com larga voz tratava e lia.\nA disciplina mili,t,1
ele, com larga voz tratava e lia.\nA disciplina mi,l,1
nte\nDele, com larga voz tratava e lia.\nA discipl,i,1
, diante\nDele, com larga voz tratava e lia.\nA di,s,1
s, diante\nDele, com larga voz tratava e lia.\nA d,i,1
as, diante\nDele, com larga voz tratava e lia.\nA ,d,1
cas, diante\nDele, com larga voz tratava e lia.\nA, ,1
licas, diante\nDele, com larga voz tratava e lia.\,n,1
bélicas, diante\nDele, com larga voz tratava e li,a,1
tes bélicas, diante\nDele, com larga voz tratava ,e,1
rtes bélicas, diante\nDele, com larga voz tratava, ,1
 artes bélicas, diante\nDele, com larga voz trata,v,1
do das artes bélicas, diante\nDele, com larga voz, ,1
ndo das artes bélicas, diante\nDele, com larga vo,z,1
\nQuando das artes bélicas, diante\nDele, com lar,g,1
ia,\nQuando das artes bélicas, diante\nDele, com ,l,1
cia,\nQuando das artes bélicas, diante\nDele, com, ,1
ecia,\nQuando das artes bélicas, diante\nDele, co,m,1
scarnecia,\nQuando das artes bélicas, diante\nDel,e,1
escarnecia,\nQuando das artes bélicas, diante\nDe,l,1
l escarnecia,\nQuando das artes bélicas, diante\n,D,1
bal escarnecia,\nQuando das artes bélicas, diante,\,1
Anibal escarnecia,\nQuando das artes bélicas, dia,n,1
mo Anibal escarnecia,\nQuando das artes bélicas, ,d,1
 como Anibal escarnecia,\nQuando das artes bélica,s,1
is como Anibal escarnecia,\nQuando das artes béli,c,1
ereis como Anibal escarnecia,\nQuando das artes b�,�,1
\nVereis como Anibal escarnecia,\nQuando das artes, ,1
nte,\nVereis como Anibal escarnecia,\nQuando das a,r,1
ante,\nVereis como Anibal escarnecia,\nQuando das ,a,1
gante,\nVereis como Anibal escarnecia,\nQuando das, ,1
egante,\nVereis como Anibal escarnecia,\nQuando da,s,1
 elegante,\nVereis como Anibal escarnecia,\nQuando, ,1
sofo elegante,\nVereis como Anibal escarnecia,\nQu,a,1
ilósofo elegante,\nVereis como Anibal escarnecia,,\,1
rmião, filósofo elegante,\nVereis como Anibal es,c,1
Formião, filósofo elegante,\nVereis como Anibal ,e,1
 Formião, filósofo elegante,\nVereis como Anibal, ,1
De Formião, filósofo elegante,\nVereis como Anib,a,1
\nDe Formião, filósofo elegante,\nVereis como An,i,1
153\nDe Formião, filósofo elegante,\nVereis como, ,1
n153\nDe Formião, filósofo elegante,\nVereis com,o,1
n\n153\nDe Formião, filósofo elegante,\nVereis c,o,1
\n\n153\nDe Formião, filósofo elegante,\nVereis ,c,1
